track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1tJhy8gkzkRTwREgYZuNdp,YRN - Remix,1ROS8X4pkNhl5ctWaPEeSM,EZRA,78UKMY0dwgE4fKk8xArzBv,268355,2021-01-22,67,0.808,0.782,7,-8.505,0,0.197,0.0241,0.00156,0.123,0.634,126.026,1tJhy8gkzkRTwREgYZuNdp,1tJhy8gkzkRTwREgYZuNdp
1Bhm5HNO1cq8olDbBmokyL,Copines,7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,3jqQFIXUakuDXdhFVvI7Ko,171720,2018-11-02,80,0.701,0.787,8,-3.941,0,0.0855,0.27,0.0,0.105,0.904,180.027,1Bhm5HNO1cq8olDbBmokyL,1Bhm5HNO1cq8olDbBmokyL
0HrqLtmX5NvouLFchhC5Z7,Whisky Cola X Run 2 U - Remix,1dXyyDButMVteLKOOVqz6Z,Eduardo Luzquiños,1Ljp4mlYT3svTVevlhLBpW,55058,2020-12-24,45,0.816,0.803,7,-4.63,1,0.0836,0.0977,0.00917,0.0585,0.783,169.904,0HrqLtmX5NvouLFchhC5Z7,0HrqLtmX5NvouLFchhC5Z7
66vFlr5V4khlxqc1y3a8OX,De Yang Gatal Gatal Sa - DJ DESA Remix,3nEYSiH8DwMKTgOSGbD0SZ,Aldo Bz,1r9mHOxIQLCevwq1eaTKBn,342749,2020-10-30,55,0.931,0.94,0,-3.591,0,0.0533,0.203,0.402,0.376,0.784,132.986,66vFlr5V4khlxqc1y3a8OX,66vFlr5V4khlxqc1y3a8OX
5Ne1q9Hv3l2NHBA3Agt8WT,Wave of You,4ETSs924pXMzjIeD6E9b4u,Surfaces,0ghwCnjmc0QPPccZfYQuXc,213842,2021-04-09,77,0.695,0.656,1,-6.038,1,0.0489,0.057,0.0,0.267,0.346,90.986,5Ne1q9Hv3l2NHBA3Agt8WT,5Ne1q9Hv3l2NHBA3Agt8WT
0gkA6orELnYA0uvFaAU9I5,I Love You,6DVNszSOSwgALx7zGbR9rV,United Idol,11cP9t4Fv9RJGo9f6oDjrC,182492,2021-01-02,11,0.85,0.762,11,-6.699,1,0.0406,0.0151,0.208,0.0806,0.771,105.051,0gkA6orELnYA0uvFaAU9I5,0gkA6orELnYA0uvFaAU9I5
23YEpFgAVvr0w3cDm7EQ1Q,Prrrum,00me4Ke1LsvMxt5kydlMyU,Cosculluela,2xewTv2y5yrMwA36X2Vxzs,238475,2010-01-01,70,0.832,0.731,1,-4.815,1,0.228,0.0991,0.0,0.344,0.712,90.069,23YEpFgAVvr0w3cDm7EQ1Q,23YEpFgAVvr0w3cDm7EQ1Q
2afirRVDfxKW1gKFc5HqHM,Mtg - Vem sentando vem,0bzyhFojsIgDceZ4NQK9pY,Dj Nbeat,4HTCdnAkvxbrwLjo6Z9lTV,139427,2020-11-09,18,0.919,0.327,11,-3.553,1,0.0917,0.479,1.45e-05,0.0815,0.783,129.992,2afirRVDfxKW1gKFc5HqHM,2afirRVDfxKW1gKFc5HqHM
43gqalhe3KZX6DAV1C9Hfu,Me Love,6S0dmVVn4udvppDhZIWxCr,Sean Kingston,3ULlQpS7wfGX6QOVlKvipa,204293,2007-01-01,51,0.66,0.847,1,-3.25,1,0.191,0.0628,0.0,0.112,0.925,180.01,43gqalhe3KZX6DAV1C9Hfu,43gqalhe3KZX6DAV1C9Hfu
3aAmQOxRPeKDL0HMWFA5qn,Adderall (Corvette Corvette),3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,6zUd16jYIP9n45kUE3L5J3,136224,2020-10-15,72,0.913,0.391,4,-11.158,0,0.368,0.272,0.0,0.0666,0.713,141.05,3aAmQOxRPeKDL0HMWFA5qn,3aAmQOxRPeKDL0HMWFA5qn
