track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1M4OcYkxAtu3ErzSgDEfoi,Up,4kYSro6naA4h99UJvo89HB,Cardi B,0Fe4Uj7GkgA1uDGGk8s92C,156944,2021-02-04,82,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7Gwu0RinuE2FY3jLaZ4vqy,Best Friend (feat. Doja Cat),6cK3NBO6uP7hh0oyuVELFl,Saweetie,0ZsqHSjW6NaeidV86J0iY9,155883,2021-03-19,54,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
2aQJOc2QUTdQl1J2Z9VxYO,Problemas,6ONwLtT6vOzlO3pfZNAOMw,Paris Boy,0OXuXnfwVvYPtopY9XFRVE,222892,2020-10-11,54,0.787,0.238,1,-13.154,0,0.0554,0.677,2.2e-05,0.0869,0.262,98.022,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
1aKz5AuZn1mXb2BVCnbM72,Can't Stop (Oh No),34Q1USAO0pv4gNxcnOKNav,Papa Zeus,5BOl6L8QQOQqEGh0Suou0v,153010,2021-05-07,55,0.643,0.658,7,-4.8,0,0.0264,0.0336,0.00188,0.337,0.719,122.0,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
2yZ9HCKTIK0iDOmHtU3EIU,I'll Never Let You Know,047UnCFE2OuyfRR2kx0o5j,Lion,50PrHlK09Jq8EfZo71lNFa,150080,2021-05-28,42,0.524,0.868,1,-5.827,0,0.143,0.148,0.00352,0.177,0.336,120.535,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
2Lhdl74nwwVGOE2Gv35QuK,Cupid's Chokehold / Breakfast in America,4IJczjB0fJ04gs4uvP0Fli,Gym Class Heroes,4Ug3M4a8wAEebndVIF65fX,243773,2005-02-22,84,0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7kOEAYqtX7OjQhNxQT4bPI,Talk To Me,7AgS2ycsLUG0NPTY1AAboT,Mark Mendy,41jEglPO5CdoPhWvUhKgHI,147840,2021-05-07,67,0.83,0.631,1,-5.867,0,0.0654,0.231,5.94e-05,0.145,0.802,123.959,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
1yoMvmasuxZfqHEipJhRbp,Hawái,1r4hJ1h58CWwUQe3MxPuau,Maluma,0p2yf6DucEgvj8Uk8KXJJv,199112,2020-08-21,81,0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
4jY3GWEqlrTALvVE1j7VHI,Aesthetic,63kE1M6nlHBGwRttAc4Q6Z,Xilo,4A5jNEDsbTdHhcPOwqtiU4,158435,2020-02-14,67,0.714,0.594,0,-10.63,1,0.43,0.965,0.255,0.129,0.45,169.837,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
1RAbh27nI1A5p1KjNB3Qr0,Damn Good Weekend,2FnjEL8SlmLe3YBFmPkV9N,Glaceo,2MchClj3QSU4qe9Y8GktHE,209423,2021-06-04,0,0.78,0.787,8,-5.967,1,0.0465,0.296,0.0,0.103,0.801,129.986,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
